asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,rr_ratio,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd
POL,2026-01-25 15:00:00+00:00,0.1214,-1.0,0.11895357142857142,0.1225742857142857,1742.6960534873162,1.0,0.85,2.08,2026-01-30 15:00:00+00:00,2026-01-25 18:00:00+00:00,0.11895357142857142,tp,33.37576701543513
ATOM,2026-01-25 15:00:00+00:00,2.265,-1.0,2.2237500000000003,2.2848,1742.6960534873162,1.0,0.85,2.08,2026-01-30 15:00:00+00:00,2026-01-25 18:00:00+00:00,2.2237500000000003,tp,29.995145980221924
DOT,2026-01-25 16:00:00+00:00,1.848,-1.0,1.8030000000000002,1.8696000000000002,1769.2866866178847,1.0,0.85,2.08,2026-01-30 16:00:00+00:00,2026-01-25 19:00:00+00:00,1.8030000000000002,tp,41.313993019986384
APT,2026-01-25 16:00:00+00:00,1.503,-1.0,1.4497857142857142,1.528542857142857,1769.2866866178847,1.0,0.85,2.08,2026-01-30 16:00:00+00:00,2026-01-25 19:00:00+00:00,1.4497857142857142,tp,60.872980280891035
POL,2026-01-25 18:00:00+00:00,0.1184,-1.0,0.11536428571428572,0.11985714285714286,1785.1294148667992,1.0,0.85,2.08,2026-01-30 18:00:00+00:00,2026-01-26 01:00:00+00:00,0.11985714285714286,sl,-24.290166347002124
ATOM,2026-01-25 18:00:00+00:00,2.23,-1.0,2.183392857142857,2.2523714285714287,1785.1294148667992,1.0,0.85,2.08,2026-01-30 18:00:00+00:00,2026-01-26 01:00:00+00:00,2.2523714285714287,sl,-20.2291414211425
POL,2026-01-26 18:00:00+00:00,0.1206,1.0,0.12368928571428571,0.11911714285714285,1799.5463312499826,1.0,0.85,2.08,2026-01-31 18:00:00+00:00,2026-01-27 02:00:00+00:00,0.11911714285714285,sl,-24.466028233911963
ATOM,2026-01-26 18:00:00+00:00,2.247,1.0,2.3082499999999997,2.2176,1799.5463312499826,1.0,0.85,2.08,2026-01-31 18:00:00+00:00,2026-01-27 08:00:00+00:00,2.2176,sl,-25.88487624697979
DOT,2026-01-26 18:00:00+00:00,1.881,1.0,1.930642857142857,1.8571714285714287,1799.5463312499826,1.0,0.85,2.08,2026-01-31 18:00:00+00:00,2026-01-27 09:00:00+00:00,1.8571714285714287,sl,-25.13612383679917
APT,2026-01-26 18:00:00+00:00,1.555,1.0,1.59875,1.534,1799.5463312499826,1.0,0.85,2.08,2026-01-31 18:00:00+00:00,2026-01-27 10:00:00+00:00,1.534,sl,-26.641965186412417
POL,2026-01-27 05:00:00+00:00,0.1184,-1.0,0.11541785714285716,0.11983142857142857,1793.4298241915046,1.0,0.85,2.08,2026-02-01 05:00:00+00:00,2026-01-27 13:00:00+00:00,0.11541785714285716,tp,43.37771831769746
DOT,2026-01-27 14:00:00+00:00,1.833,-1.0,1.8010357142857143,1.848342857142857,1784.858512453381,1.0,0.85,2.08,2026-02-01 14:00:00+00:00,2026-01-27 15:00:00+00:00,1.848342857142857,sl,-17.260211961871153
APT,2026-01-27 14:00:00+00:00,1.525,-1.0,1.4866071428571428,1.5434285714285714,1784.858512453381,1.0,0.85,2.08,2026-02-01 14:00:00+00:00,2026-01-27 15:00:00+00:00,1.5434285714285714,sl,-23.88909809021624
ATOM,2026-01-27 14:00:00+00:00,2.202,1.0,2.247892857142857,2.1799714285714287,1784.858512453381,1.0,0.85,2.08,2026-02-01 14:00:00+00:00,2026-01-27 16:00:00+00:00,2.247892857142857,tp,35.414168159769694
POL,2026-01-27 14:00:00+00:00,0.1165,1.0,0.11930357142857143,0.11515428571428572,1784.858512453381,1.0,0.85,2.08,2026-02-01 14:00:00+00:00,2026-01-27 19:00:00+00:00,0.11930357142857143,tp,41.16774517472931
TRX,2026-01-27 16:00:00+00:00,0.2947,1.0,0.29853928571428573,0.29285714285714287,1783.4247269803016,1.0,0.85,2.08,2026-02-01 16:00:00+00:00,2026-01-28 12:00:00+00:00,0.29285714285714287,sl,-13.470800285093746
ATOM,2026-01-28 02:00:00+00:00,2.238,1.0,2.2983571428571428,2.2090285714285716,1793.7166632739838,1.0,0.85,2.08,2026-02-02 02:00:00+00:00,2026-01-28 14:00:00+00:00,2.2983571428571428,tp,46.581445486174324
POL,2026-01-28 02:00:00+00:00,0.1192,1.0,0.12364642857142857,0.11706571428571429,1793.7166632739838,1.0,0.85,2.08,2026-02-02 02:00:00+00:00,2026-01-28 15:00:00+00:00,0.11706571428571429,sl,-34.448474698345954
ATOM,2026-01-28 19:00:00+00:00,2.247,1.0,2.305392857142857,2.2189714285714284,1793.3822058996675,1.0,0.85,2.08,2026-02-02 19:00:00+00:00,2026-01-29 01:00:00+00:00,2.2189714285714284,sl,-24.70164219779328
FIL,2026-01-28 19:00:00+00:00,1.276,1.0,1.3079642857142857,1.260657142857143,1793.3822058996675,1.0,0.85,2.08,2026-02-02 19:00:00+00:00,2026-01-29 02:00:00+00:00,1.260657142857143,sl,-23.895352187152753
ADA,2026-01-27 16:00:00+00:00,0.3556,1.0,0.3743321428571429,0.3466085714285715,1783.4247269803016,1.0,0.85,2.08,2026-02-01 16:00:00+00:00,2026-01-29 08:00:00+00:00,0.3466085714285715,sl,-47.412760483552525
